pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
100 <pt<400 	4<chiso range<10 	22.8346	1.47593	19.1264	0.641179	19.8305	1.77908	0.16594
100 <pt<400 	4<chiso range<11 	22.8346	1.47593	19.1264	0.763468	19.6861	1.28354	0.131435
100 <pt<400 	4<chiso range<12 	22.8346	1.47593	19.1264	0.72541	19.7181	1.424	0.1392
100 <pt<400 	4<chiso range<13 	22.8346	1.47593	19.1264	0.872374	19.5975	0.951097	0.109906
100 <pt<400 	5<chiso range<10 	22.8346	1.47593	19.1264	0.487428	20.0041	2.75757	0.207912
100 <pt<400 	5<chiso range<11 	22.8346	1.47593	19.1264	0.625349	19.8467	1.85844	0.169866
100 <pt<400 	5<chiso range<12 	22.8346	1.47593	19.1264	0.607121	19.8616	1.96247	0.173472
100 <pt<400 	5<chiso range<13 	22.8346	1.47593	19.1264	0.768045	19.6912	1.26293	0.132518
100 <pt<400 	6<chiso range<11 	22.8346	1.47593	19.1264	0.706889	19.7686	1.48409	0.150967
100 <pt<400 	6<chiso range<12 	22.8346	1.47593	19.1264	0.671888	19.7793	1.63971	0.153932
100 <pt<400 	6<chiso range<13 	22.8346	1.47593	19.1264	0.852457	19.6318	1.00034	0.117931
100 <pt<400 	7<chiso range<12 	22.8346	1.47593	19.1264	0.719543	19.7444	1.44643	0.145182
100 <pt<400 	7<chiso range<13 	22.8346	1.47593	19.1264	0.917283	19.5192	0.834861	0.0917699
100 <pt<400 	8<chiso range<13 	22.8346	1.47593	19.1264	0.805427	19.636	1.15168	0.119375
#######################################################################################
