pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
100 <pt<400 	4<chiso range<11 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	4<chiso range<12 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	4<chiso range<13 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	5<chiso range<10 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	5<chiso range<11 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	5<chiso range<12 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	5<chiso range<13 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	6<chiso range<11 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	6<chiso range<12 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	6<chiso range<13 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	7<chiso range<12 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	7<chiso range<13 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	8<chiso range<13 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
#######################################################################################
